PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.078605200945627,-44.99759730898609,6.57033835342392,-44.92071119654014,7.123529842785623,-44.92071119654014,7.676721332147324,-44.92071119654014,8.291378542549214,-44.92071119654014,8.921402183211153,-44.92071119654014,9.597525114653234,-44.92071119654014,10.30438090661541,-44.92071119654014,11.088076234034599,-44.84382508409419,11.902482269503544,-44.99759730898609,12.778368794326237,-44.99759730898609,13.316208621741456,-44.84382508409419
5.971534927629583,-39.84622777510813,6.44790164984783,-39.769341662662185,6.985719324792705,-39.84622777510813,7.554277244414453,-39.84622777510813,8.122827779879422,-39.92311388755408,8.783584281061454,-39.92311388755408,9.413615305880175,-39.84622777510813,10.135822759788834,-40,10.873418796427885,-39.92311388755408,11.703213414627218,-39.84622777510813,12.548359694773037,-39.92311388755408,13.024719032834504,-39.92311388755408
5.864442501843198,-34.92551657856801,6.340801839904663,-34.92551657856801,6.8632604687462715,-34.92551657856801,7.401085527847926,-34.92551657856801,7.9850098777297225,-34.92551657856801,8.615033518391662,-34.92551657856801,9.275797403730476,-34.84863046612206,9.951912951015775,-34.92551657856801,10.689501603498044,-34.92551657856801,11.503922407280552,-34.92551657856801,12.302984164959788,-34.84863046612206,12.733236828084333,-34.92551657856801
5.757357460213595,-29.927919269581935,6.2337167982750605,-29.927919269581935,6.725449950753354,-29.851033157136,7.278634055958276,-29.927919269581935,7.847184591423244,-30.004805382027882,8.461849185981915,-29.927919269581935,9.091872826643854,-29.927919269581935,9.783362188345983,-29.927919269581935,10.505577026411423,-30.004805382027882,11.289264969673837,-30.004805382027882,12.05760863514654,-29.774147044690068,12.503220344374348,-29.927919269581935
5.6961354163471585,-27.39067755886593,6.126639140802237,-24.853435848149942,6.602998478863703,-24.853435848149942,7.125457107705311,-24.853435848149942,7.694015027327061,-24.853435848149942,8.293305807468904,-24.853435848149942,8.923329448130843,-24.853435848149942,9.61481142567619,-24.930321960595876,10.337041032055193,-24.853435848149942,11.090003498954289,-24.776549735703995,11.796851906759684,-24.853435848149942,12.227111954041007,-24.853435848149942
5.5888140817005825,-24.853435848149942,5.850523366312113,-19.85583853916387,6.526380468110099,-22.623738587217687,6.972272775295564,-19.85583853916387,7.55619712517736,-19.85583853916387,8.155480521162424,-19.932724651609817,8.770145115721096,-19.85583853916387,9.446268047163176,-19.85583853916387,10.137757408865305,-19.85583853916387,10.906078921867667,-19.85583853916387,11.566828038892922,-19.932724651609817,11.997088086174244,-19.932724651609817
5.358797597990599,-19.85583853916387,5.605140452342083,-14.85824123017781,6.388348425413768,-19.85583853916387,6.696157000805441,-14.85824123017781,7.310814211207332,-14.85824123017781,7.925471421609223,-14.85824123017781,8.586227922791256,-14.85824123017781,9.246984423973291,-14.85824123017781,9.923107355415372,-14.85824123017781,10.676062438157686,-14.85824123017781,11.336818939339718,-14.85824123017781,11.736346126100948,-14.85824123017781
5.098048253760523,-14.85824123017781,5.344391108112007,-9.860643921191738,6.112225266766864,-14.935127342623744,6.389300981638443,-9.937530033637685,6.957858901260193,-9.937530033637685,7.587889926078909,-9.860643921191738,8.264012857520989,-9.860643921191738,8.970868649483165,-9.860643921191738,9.723808963911921,-10.014416146083619,10.461405000550972,-9.937530033637685,11.13753531614983,-9.860643921191738,11.552421549014326,-9.937530033637685
4.883390816153809,-9.937530033637685,4.8382588499119015,0.13455069678039422,5.83610949227674,-9.937530033637685,6.082467114941784,-4.786160499759731,6.651010266249972,-4.939932724651612,7.265674860808645,-4.863046612205679,7.895698501470583,-4.863046612205679,8.602546909275976,-4.939932724651612,9.309410085394934,-4.863046612205679,10.093105412814126,-4.786160499759731,10.907518832439852,-4.863046612205679,11.322412449461126,-4.863046612205679
