PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
7.28697129560662,-45.10901883052527,7.74062505771042,-40.05450941526264,8.366719401165906,-40.09167492566898,9.187592413619043,-45.10901883052527,9.895666947780533,-45.10901883052527,10.663368811134571,-45.10901883052527,11.11057378007867,-45.10901883052527,11.527950310559007,-45.034687809712594,11.9527950310559,-45.034687809712594,12.40001477386749,-45.10901883052527,12.862126575109727,-45.10901883052527,13.33169179250103,-45.10901883052527
7.16671201423216,-40.05450941526264,7.516032724116491,-35.07433102081269,8.119759432191024,-35.07433102081269,9.015159219201102,-40.05450941526264,9.73814058566073,-40.05450941526264,10.461121952120358,-40.05450941526264,10.856153008020978,-40.05450941526264,11.273551699302548,-40.09167492566898,11.698396419799444,-40.09167492566898,12.130694556445405,-40.09167492566898,12.585352941538574,-40.09167492566898,13.032557910482673,-40.09167492566898
6.927212848340093,-35.07433102081269,7.246712506694409,-30.056987115956403,7.835532382470807,-30.056987115956403,8.790566885607173,-35.07433102081269,9.483705039735547,-34.92566897918732,10.243983034675498,-35.07433102081269,10.631560674427053,-35.07433102081269,11.034052533410488,-35.11149653121903,11.451443837758312,-35.11149653121903,11.861374339023325,-35.07433102081269,12.323493527199307,-35.11149653121903,12.770691109209661,-35.07433102081269
6.695167098597099,-30.094152626362742,6.984853092355139,-25.076808721506453,7.558766135833399,-25.076808721506453,8.491440390522563,-30.094152626362742,9.192061508534987,-30.094152626362742,9.967216788038094,-30.094152626362742,10.414421756982193,-30.094152626362742,10.809452812882814,-30.094152626362742,11.211929897998758,-30.056987115956403,11.636782005429396,-30.094152626362742,12.06908014207536,-30.094152626362742,12.501378278721322,-30.094152626362742
6.44820712962222,-25.076808721506453,6.715540261866802,-20.096630327056502,7.274546473046926,-20.096630327056502,8.184853092355137,-25.076808721506453,8.863113961920355,-25.076808721506453,9.60845557682719,-25.076808721506453,10.204728868752653,-25.076808721506453,10.58485309235514,-25.076808721506453,10.987337564404829,-25.076808721506453,11.397275452603587,-25.076808721506453,11.81466675695141,-25.076808721506453,12.246964893597376,-25.076808721506453
6.201254547581088,-20.096630327056502,6.468580292891924,-15.079286422200198,7.0052262556248435,-15.079286422200198,7.870819764972391,-20.096630327056502,8.541634605322287,-20.13379583746284,9.249701752550031,-20.096630327056502,9.995043367456862,-20.096630327056502,10.37517497799309,-20.13379583746284,10.7627452308109,-20.096630327056502,11.180136535158724,-20.096630327056502,11.582621007208413,-20.096630327056502,12.00746572770531,-20.096630327056502
5.95429457860621,-15.079286422200198,6.214174294701722,-10.099108027750248,6.721006592838367,-10.099108027750248,7.601499547550309,-15.079286422200198,8.227586504072047,-15.079286422200198,8.913300789786334,-15.079286422200198,9.6511889885441,-15.079286422200198,10.18038153512795,-15.079286422200198,10.560505758730432,-15.079286422200198,10.948083398481987,-15.079286422200198,11.358021286680742,-15.079286422200198,11.7679591748795,-15.079286422200198
5.729702245012281,-10.099108027750248,5.967214325726844,-5.081764122893958,6.474046623863489,-5.081764122893958,7.302373052465696,-10.099108027750248,7.898646344391163,-10.099108027750248,8.576907213956378,-10.099108027750248,9.284981748117872,-10.099108027750248,9.978149449981224,-10.099108027750248,10.35827367358371,-10.099108027750248,10.738397897186193,-10.099108027750248,11.140882369235882,-10.099108027750248,11.543366841285572,-10.099108027750248
5.49764910833554,-5.081764122893958,5.72026174368571,-0.10158572844400737,6.2047337933751505,-0.10158572844400737,7.018146002745477,-5.081764122893958,7.6069658785218754,-5.081764122893958,8.247967054275495,-5.118929633300297,8.918767120757899,-5.081764122893958,9.671562151813799,-5.081764122893958,10.163487617652308,-5.081764122893958,10.543611841254794,-5.081764122893958,10.923743451791022,-5.118929633300297,11.326220536906966,-5.081764122893958
5.273056774741611,-0.10158572844400737,5.4807551908599015,4.915758176412282,5.927960159804001,4.915758176412282,6.733926339959003,-0.10158572844400737,7.292932551139127,-0.10158572844400737,7.911566091511797,-0.10158572844400737,8.582373544927947,-0.10158572844400737,9.305354911387575,-0.10158572844400737,9.96125553250559,-0.10158572844400737,10.348833172257141,-0.10158572844400737,10.728957395859624,-0.10158572844400737,11.123988451760248,-0.10158572844400737
5.048457054213938,4.915758176412282,5.226349192669699,9.895936570862233,5.673554161613798,9.895936570862233,6.442245874089715,4.915758176412282,7.001259472203585,4.878592666005943,7.582618544897168,4.915758176412282,8.223619720650788,4.878592666005943,8.909334006365075,4.878592666005943,9.654675621271906,4.878592666005943,10.161507919408553,4.878592666005943,10.53417872686197,4.878592666005943,10.914302950464453,4.878592666005943
4.7940510560237355,9.895936570862233,4.934668726800411,14.913280475718537,5.3669668634463745,14.913280475718537,6.1580262113032385,9.895936570862233,6.672297151721463,9.970267591674926,7.246217582133471,9.933102081268586,7.849951677141749,9.895936570862233,8.520751743624153,9.933102081268586,9.243733110083781,9.933102081268586,9.981628695775289,9.895936570862233,10.346838700145891,9.933102081268586,10.719516894533054,9.895936570862233
4.539637670899791,14.913280475718537,4.523342095057525,21.900396432110995,5.060386952212695,19.893458870168487,5.82907866468861,14.913280475718537,6.335910962825255,14.913280475718537,6.887463757856312,14.913280475718537,7.468830217483641,14.913280475718537,8.117277422452585,14.913280475718537,8.802991708166871,14.913280475718537,9.56324015537184,14.913280475718537,10.166966863446376,14.913280475718537,10.539637670899793,14.913280475718537
4.25541062117957,19.930624380574827,7.883244587532087,-45.10901883052527,4.79872698508455,23.870168483647177,5.500131118073981,19.930624380574827,5.977157138548098,19.893458870168487,6.5063496851319504,19.893458870168487,7.065355896312075,19.893458870168487,7.669082604386609,19.893458870168487,8.317529809355552,19.893458870168487,9.04051117581518,19.893458870168487,9.800759623020149,19.893458870168487,10.359765834200275,19.893458870168487
,,,,8.501878127904757,-45.10901883052527,5.081557904326895,25.87710604558969,5.610942511188127,24.910802775024777,6.110321393175703,24.910802775024777,6.646967355908623,24.910802775024777,7.228333815535952,24.910802775024777,7.839513939759555,24.910802775024777,8.532689028556653,24.87363726461843,9.270569840380674,24.910802775024777,10.001012009923116,24.87363726461843
,,,,,,,,5.386749072016449,27.884043607532213,5.684486823556932,29.890981169474728,6.206225953991715,29.890981169474728,6.742871916724634,29.890981169474728,7.324238376351963,29.890981169474728,7.965232165171838,29.890981169474728,8.643493034737055,29.890981169474728,9.329207320451342,29.890981169474728
,,,,,,,,,,,,6.0269450719918245,31.897918731417242,6.376856736575786,33.904856293359764,6.846222506755965,34.908325074331024,7.435042382532363,34.908325074331024,8.090943003650377,34.908325074331024,8.724483376321182,34.908325074331024
,,,,,,,,,,,,,,,,6.734221817308817,35.91179385530228,7.1512142272343935,37.9187314172448,7.553299804861834,39.925668979187314,8.157033899870115,39.888503468780975
