PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,PARALLEL_CORRECTION_1,,PARALLEL_CORRECTION_2,,PARALLEL_CORRECTION_3,,PARALLEL_CORRECTION_4,,PARALLEL_CORRECTION_5,,PARALLEL_CORRECTION_6,,PARALLEL_CORRECTION_7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
561.5995674959236,-45.03937007874015,682.0868321692346,-45.03937007874015,795.4900986213934,-44.86220472440945,908.8829012652486,-45.216535433070874,1015.2021694962546,-44.86220472440945,1125.0547169975844,-45.03937007874015,1231.3739852285903,-44.68503937007873,1334.1425345087678,-44.68503937007873,1458.1665663885037,-45.03937007874015,1561.5420165502564,-14.212598425196859,1579.3793217708253,-8.18897637795277,1590.1117011536348,-3.051181102362193,-714.3641928479869,-56.02362204724409,-296.1990216339236,-55.84645669291339,143.22512011579965,-55.84645669291339,582.6457739294215,-56.02362204724409,1000.8074572073838,-56.02362204724409,1401.250425092212,-56.02362204724409,1798.1531378345148,-55.84645669291339
575.87568995736,-39.9015748031496,699.906697709298,-39.9015748031496,813.3029882892542,-40.078740157480325,930.2465098839389,-40.078740157480325,1040.1025453213697,-40.078740157480325,1149.9585807588005,-40.078740157480325,1256.2708731176044,-40.078740157480325,1366.1269085550352,-40.078740157480325,1479.5266870710925,-40.078740157480325,1483.6633792868915,-9.960629921259851,1377.5464113497442,-0.03937007874014853,1519.2961344948162,-0.03937007874014853,-732.2782326627776,-65.94488188976376,-324.7477786206955,-65.94488188976376,86.326418500013,-65.94488188976376,504.4881017779753,-65.94488188976376,904.9310696628036,-65.94488188976376,1308.9177806262587,-65.94488188976376,1705.8170054324605,-65.94488188976376
593.7374107306355,-32.63779527559055,721.364480602715,-29.980314960629926,838.3080021973997,-29.980314960629926,958.7952668707107,-29.980314960629926,1072.1950453867685,-29.980314960629926,1189.1385669814526,-29.980314960629926,1295.4508593402566,-29.980314960629926,1405.3068947776874,-29.980314960629926,1518.706673293745,-29.980314960629926,1235.7966882046721,-0.03937007874014853,1026.9146589234488,10.059055118110223,1175.7518682257742,10.059055118110223,-796.2609324997165,-75.86614173228347,-395.81796461488807,-75.86614173228347,1.0777722552124942,-76.04330708661416,405.06797115476866,-75.86614173228347,801.96719596097,-75.86614173228347,1202.4101638457983,-75.86614173228347,1599.309388652,-75.86614173228347
572.5272713003897,-29.980314960629926,508.9387082428648,-19.881889763779526,834.8026264158839,-28.03149606299212,969.4857910203082,-26.96850393700788,1082.906497152972,-25.905511811023615,1203.4356170594951,-23.77952755905511,1313.298628369128,-23.42519685039369,1437.357539609874,-22.00787401574803,1547.255430280517,-19.881889763779526,888.7086788570036,10.059055118110223,640.8419877747842,19.980314960629926,782.5917109198558,19.980314960629926,,,-520.0477847245836,-85.96456692913387,-112.51733068250178,-85.96456692913387,284.38189412369957,-85.96456692913387,681.2811189299014,-85.96456692913387,1081.7240868147296,-85.96456692913387,1482.1705426356589,-85.78740157480314
356.5542679258115,-20.059055118110223,296.50944794691395,-9.960629921259851,657.7759175451902,-19.881889763779526,817.2443560833963,-19.881889763779526,966.0815653857221,-19.881889763779526,1118.4590298305734,-20.059055118110223,1260.2122409117464,-19.881889763779526,1405.505707135445,-19.881889763779526,1338.369913063193,-9.960629921259851,495.5485215510853,19.980314960629926,166.1792275965504,30.07874015748031,332.73166435590883,29.9015748031496,,,-669.080318448566,-95.88582677165354,-243.8311490133501,-95.88582677165354,160.15207401400403,-96.06299212598424,564.1422729135602,-95.88582677165354,961.041497719762,-95.88582677165354,1361.4809776684892,-96.06299212598424
144.12500762986065,-10.137795275590548,6.121327857274082,0.13779527559054827,445.34665724923934,-9.960629921259851,597.7276096301916,-9.960629921259851,753.6523050897708,-9.960629921259851,902.4895143920967,-9.960629921259851,1047.7829806157952,-9.960629921259851,1203.7041881392734,-10.137795275590548,1090.5032219809736,-0.03937007874014853,52.77596114439211,29.9015748031496,-237.61215894524798,40,-134.84360966507097,40,,,-796.8155143397773,-104.03543307086613,-382.2324535014518,-105.80708661417322,39.469484919036404,-105.98425196850394,457.6346561330997,-105.80708661417322,854.5303930032005,-105.98425196850394,1247.885874730775,-105.98425196850394
-114.36942475213846,-0.03937007874014853,-259.46407861807984,10.059055118110223,158.50228023822638,0.13779527559054827,317.970718776432,0.13779527559054827,466.80792807875787,0.13779527559054827,633.3603648381163,-0.03937007874014853,782.1975741404417,-0.03937007874014853,938.1257575361219,0.13779527559054827,739.8714695546778,10.059055118110223,-280.1719552497798,38.228346456692904,,,,,,,,,-520.6337579895535,-115.72834645669289,-70.57838700395041,-115.72834645669289,351.1235514165378,-115.90551181102362,751.566519301366,-115.90551181102362,1141.378257950314,-115.90551181102362
-390.5825725272714,10.059055118110223,-556.9466607371751,19.803149606299215,-138.98030188086955,9.881889763779526,-14.945806192830332,10.059055118110223,126.8039169522417,10.059055118110223,284.50048395113436,10.059055118110223,435.1095647927732,10.059055118110223,591.0342602523524,10.059055118110223,350.25505532738634,19.980314960629926,,,,,,,,,,,-644.863578099249,-125.82677165354332,-184.17697787776524,-125.82677165354332,248.15967771470423,-125.82677165354332,648.5991576634315,-126.00393700787399,1041.9546393910064,-126.00393700787399
-705.7803821033997,19.980314960629926,-638.4074083762785,22.10629921259843,-436.455908127763,19.980314960629926,-315.9686434544517,19.980314960629926,-195.48137878114062,19.980314960629926,-74.99062617172831,20.157480314960623,41.94940748685485,19.980314960629926,197.87410294643405,19.980314960629926,-67.71479146502043,29.72440944881889,,,,,,,,,,,-772.6336533514705,-135.74803149606296,-297.7720808154793,-135.74803149606296,141.64857299814275,-135.9251968503937,549.1790270402244,-135.9251968503937,938.9907656891723,-135.9251968503937
,,,,-581.6656638850375,24.232283464566933,-517.8434091087449,26.003937007874015,-475.27663693201134,28.12992125984252,-252.0801178922402,25.118110236220474,-298.0546036396613,29.9015748031496,-195.28605435948407,29.9015748031496,-308.5637551120062,36.1023622047244,,,,,,,,,,,-804.5587324840208,-137.34251968503938,-418.4581578465484,-145.8464566929134,20.965983903174674,-145.8464566929134,442.6714102597639,-145.8464566929134,839.5706350659657,-145.8464566929134
,,,,,,,,,,,,-383.06258229349237,32.027559055118104,-347.5832962740121,34.15354330708661,,,,,,,,,,,,,,,-546.2282330987696,-155.76771653543304,-99.71660519179295,-155.76771653543304,339.7075365579303,-155.76771653543304,740.1505044427586,-155.76771653543304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-691.7205116802259,-165.86614173228347,-206.22770990835443,-165.86614173228347,243.8276610772491,-165.86614173228347,640.7268858834504,-165.86614173228347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-720.1053356702505,-167.63779527559055,-220.43756158387168,-167.63779527559055,226.07057838700393,-167.81496062992127,626.5135462718322,-167.81496062992127
