PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,PARALLEL_CORRECTION_1,,PARALLEL_CORRECTION_2,,PARALLEL_CORRECTION_3,,PARALLEL_CORRECTION_4,,PARALLEL_CORRECTION_5,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1533.0747922437677,-44.147783251231544,1603.9889196675904,-39.004926108374406,1628.8088642659282,-30.492610837438434,1657.1745152354574,-20.02955665024632,1685.5401662049862,-11.162561576354705,1706.8144044321334,-2.472906403940897,1713.9058171745155,5.684729064039402,1728.0886426592801,12.246305418719203,1735.1800554016622,17.743842364532,1742.2714681440448,22.88669950738914,1749.3628808864269,27.142857142857125,1749.3628808864269,30.68965517241378,639.5567867036011,-55.852216748768484,1050.8587257617733,-56.02955665024632,1430.2493074792246,-56.02955665024632,1799.0027700831029,-56.02955665024632,2210.304709141275,-55.852216748768484
1497.6177285318563,-40.068965517241395,1515.346260387812,-29.960591133004925,1522.437673130194,-19.852216748768484,1536.6204986149587,-9.921182266009879,1529.5290858725766,-0.16748768472908182,1671.357340720222,0.009852216748754472,1632.3545706371192,10.118226600985196,1536.6204986149587,20.04926108374383,1674.903047091413,20.04926108374383,1515.346260387812,29.98029556650245,1589.8060941828257,31.931034482758605,1437.3407202216067,40.08866995073889,540.2770083102496,-66.13793103448276,937.3961218836566,-65.96059113300493,1323.8781163434905,-65.96059113300493,1717.4515235457066,-65.96059113300493,2114.570637119114,-65.96059113300493
1384.1551246537397,-29.960591133004925,1398.3379501385043,-20.02955665024632,1401.8836565096954,-9.921182266009879,1398.3379501385043,0.009852216748754472,1355.7894736842109,10.118226600985196,1486.9806094182827,10.118226600985196,1384.1551246537397,20.04926108374383,1228.14404432133,29.98029556650245,1366.426592797784,29.98029556650245,1231.689750692521,38.13793103448273,1311.4681440443214,39.999999999999986,,,398.44875346260415,-76.0689655172414,799.1135734072022,-75.89162561576356,1199.7783933518008,-75.89162561576356,1600.4432132963993,-75.89162561576356,2001.1080332409979,-75.89162561576356
1267.1468144044325,-20.02955665024632,1270.6925207756235,-9.921182266009879,1260.05540166205,0.009852216748754472,1217.5069252077565,10.118226600985196,1114.6814404432134,20.04926108374383,1242.3268698060942,20.403940886699488,1086.3157894736846,29.98029556650245,1086.3157894736846,34.0591133004926,1157.2299168975073,36.18719211822658,,,,,,,214.0720221606648,-85.82266009852216,621.8282548476454,-86,1054.4044321329643,-86,1469.252077562327,-86,1873.4626038781166,-86
1135.9556786703602,-9.921182266009879,1132.409972299169,0.009852216748754472,1082.7700831024931,10.118226600985196,976.398891966759,20.04926108374383,870.027700831025,28.029556650246292,937.3961218836566,29.98029556650245,1015.4016620498619,32.10837438423643,,,,,,,,,,,22.60387811634382,-95.93103448275863,437.45152354570655,-95.93103448275863,898.3933518005542,-95.93103448275863,1330.9695290858726,-95.93103448275863,1738.7257617728533,-95.93103448275863
997.6731301939062,0.009852216748754472,951.5789473684213,10.118226600985196,834.5706371191136,20.22660098522165,795.5678670360112,26.078817733990135,,,,,,,,,,,,,,,,,-161.77285318559552,-105.86206896551724,263.7119113573408,-106.03940886699507,745.9279778393352,-105.86206896551724,1199.7783933518008,-106.03940886699507,1603.9889196675904,-105.86206896551724
802.6592797783937,10.118226600985196,696.2880886426597,20.04926108374383,710.4709141274238,24.3054187192118,,,,,,,,,,,,,,,,,,,-349.6952908587257,-115.79310344827587,86.426592797784,-115.97044334975368,589.9168975069256,-115.97044334975368,1057.9501385041553,-115.97044334975368,1469.252077562327,-115.97044334975368
536.7313019390585,20.04926108374383,632.465373961219,22.177339901477808,,,,,,,,,,,,,,,,,,,,,-555.3462603878115,-125.90147783251234,-83.76731301939049,-125.90147783251234,433.9058171745155,-126.07881773399015,919.667590027701,-126.07881773399015,1341.6066481994462,-126.07881773399015
,,,,,,,,,,,,,,,,,,,,,,,,-796.4542936288087,-135.83251231527095,-268.1440443213296,-135.83251231527095,281.4404432132965,-136.00985221674875,781.3850415512466,-136.00985221674875,1217.5069252077565,-136.00985221674875
,,,,,,,,,,,,,,,,,,,,,,,,,,-463.1578947368421,-145.94088669950736,121.88365650969536,-145.94088669950736,643.1024930747926,-145.94088669950736,1100.4986149584488,-145.94088669950736
,,,,,,,,,,,,,,,,,,,,,,,,,,-668.8088642659279,-155.87192118226602,-41.21883656509681,-155.87192118226602,511.9113573407203,-155.87192118226602,979.9445983379505,-155.87192118226602
,,,,,,,,,,,,,,,,,,,,,,,,,,-796.4542936288087,-161.192118226601,-197.22991689750688,-165.98029556650243,384.2659279778395,-165.98029556650243,862.9362880886429,-165.98029556650243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-232.68698060941824,-167.7536945812808,359.44598337950174,-168.10837438423647,832.7977839335181,-167.9310344827586
