PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,PARALLEL_CORRECTION_1,,PARALLEL_CORRECTION_2,,PARALLEL_CORRECTION_3,,PARALLEL_CORRECTION_4,,PARALLEL_CORRECTION_5,,PARALLEL_CORRECTION_6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2173.2718894009213,-45.17543859649123,2237.78801843318,-36.84210526315792,2254.377880184332,-26.31578947368422,2267.2811059907835,-18.333333333333343,2274.6543778801843,-10.5263157894737,2282.027649769585,-4.035087719298275,2285.7142857142853,1.2280701754385746,2287.557603686636,5.877192982456137,2287.557603686636,10.350877192982438,2285.7142857142853,14.561403508771917,2289.4009216589857,18.333333333333314,2285.7142857142853,21.666666666666643,1240.552995391705,-55.78947368421055,1596.3133640552994,-55.78947368421055,1841.47465437788,-65.26315789473685,2420.2764976958524,-55.78947368421055,2788.940092165898,-55.78947368421055,3089.4009216589857,-55.78947368421055
2127.1889400921655,-40.614035087719316,2162.21198156682,-31.140350877192986,2176.9585253456216,-21.57894736842107,2156.682027649769,-12.10526315789474,2101.382488479263,-2.631578947368439,2245.1612903225805,-2.631578947368439,2103.2258064516127,6.929824561403478,2258.064516129032,6.929824561403478,2068.202764976959,16.491228070175424,2230.414746543778,16.491228070175424,1976.036866359447,25.96491228070174,2103.2258064516127,25.96491228070174,1085.7142857142856,-65.26315789473685,1454.3778801843316,-65.26315789473685,1701.3824884792627,-74.8245614035088,2272.8110599078336,-65.26315789473685,2652.534562211981,-65.26315789473685,2956.682027649769,-65.26315789473685
1999.9999999999998,-31.140350877192986,2007.373271889401,-21.57894736842107,1996.3133640552994,-12.10526315789474,1937.327188940092,-2.631578947368439,1776.9585253456219,6.929824561403478,1598.1566820276496,16.491228070175424,1762.21198156682,16.491228070175424,1913.3640552995391,16.491228070175424,1647.9262672811058,25.96491228070174,1802.7649769585253,25.96491228070174,1518.8940092165897,35.52631578947367,1657.142857142857,35.52631578947367,949.3087557603687,-74.8245614035088,1319.815668202765,-74.8245614035088,1564.9769585253455,-84.38596491228071,2127.1889400921655,-74.8245614035088,2517.972350230414,-74.8245614035088,2827.649769585253,-74.8245614035088
1835.9447004608294,-21.57894736842107,1828.5714285714287,-12.017543859649152,1765.8986175115208,-2.631578947368439,1614.7465437788017,7.017543859649095,1428.5714285714287,16.491228070175424,1166.8202764976957,26.31578947368419,1341.9354838709676,25.96491228070174,1493.0875576036867,26.052631578947356,1378.801843317972,31.842105263157876,1456.2211981566818,33.596491228070164,,,,,842.3963133640552,-84.38596491228071,1199.9999999999998,-84.38596491228071,1441.47465437788,-93.85964912280704,1983.4101382488477,-84.38596491228071,2383.410138248848,-84.38596491228071,2704.147465437788,-84.38596491228071
1635.0230414746545,-12.017543859649152,1581.5668202764975,-2.5438596491228225,1426.728110599078,7.017543859649095,1242.3963133640552,16.491228070175424,1078.3410138248848,24.12280701754385,1946.5437788018432,6.929824561403478,1249.769585253456,28.07017543859648,1319.815668202765,29.824561403508753,,,,,,,,,728.110599078341,-93.85964912280704,1078.3410138248848,-93.85964912280704,1325.3456221198155,-103.42105263157896,1848.847926267281,-93.85964912280704,2258.064516129032,-93.85964912280704,2589.8617511520733,-93.85964912280704
1384.331797235023,-2.631578947368439,1225.8064516129032,7.017543859649095,1048.847926267281,16.491228070175424,975.1152073732717,22.456140350877178,,,,,,,,,,,,,,,,,571.4285714285713,-103.42105263157896,947.4654377880186,-103.42105263157896,1198.1566820276496,-112.9824561403509,1725.3456221198155,-103.42105263157896,2132.7188940092165,-103.42105263157896,2497.6958525345617,-103.42105263157896
1006.4516129032256,7.017543859649095,833.1797235023039,16.491228070175424,855.2995391705069,20.438596491228054,,,,,,,,,,,,,,,,,,,396.3133640552994,-112.9824561403509,799.9999999999998,-112.9824561403509,1024.8847926267279,-122.36842105263156,1598.1566820276496,-112.9824561403509,1998.1566820276496,-112.9824561403509,2400,-112.9824561403509
597.2350230414747,16.491228070175424,737.3271889400919,18.596491228070164,,,,,,,,,,,,,,,,,,,,,197.23502304147473,-122.36842105263156,600.9216589861751,-122.36842105263156,820.2764976958526,-131.84210526315792,1428.5714285714287,-122.36842105263156,1835.9447004608294,-122.36842105263156,2258.064516129032,-122.36842105263156
,,,,,,,,,,,,,,,,,,,,,,,,0,-131.84210526315792,398.1566820276496,-131.84210526315792,593.5483870967739,-141.4035087719298,1238.7096774193549,-131.84210526315792,1668.2027649769586,-131.84210526315792,2099.5391705069123,-131.84210526315792
