14000PA,,12000PA,,10000PA,,9000PA,,8000PA,,7000PA,,6000PA,,5000PA,,4000PA,,3000PA,,2000PA,,1000PA,,0PA,,-2000PA,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
12.798165137614674,70.08035714285714,23.50152905198776,70.08035714285714,30.12742099898064,71.15178571428572,30.025484199796125,74.5,30.025484199796125,78.11607142857142,30.22935779816514,82,39.40366972477065,76.375,39.40366972477065,79.7232142857143,39.09785932721715,83.74107142857144,39.50560652395515,87.625,39.19979612640165,92.3125,39.50560652395515,97.13392857142856,39.40366972477065,101.41964285714286,39.19979612640165,109.85714285714288
6.783893985728852,73.29464285714286,16.060142711518864,75.16964285714286,25.336391437308876,74.63392857142858,25.540265035677876,78.11607142857142,25.540265035677876,81.59821428571428,25.642201834862377,85.3482142857143,35.12232415902142,80.39285714285717,34.91845056065239,84.14285714285714,34.91845056065239,88.02678571428572,35.02038735983692,92.44642857142856,35.02038735983692,97,35.02038735983692,102.08928571428572,36.039755351681976,105.16964285714288,34.91845056065239,115.21428571428572
-2.696228338430174,77.44642857142856,6.681957186544338,80.125,20.749235474006127,78.11607142857142,20.647298674821627,81.86607142857144,20.647298674821627,84.94642857142856,20.749235474006127,89.0982142857143,30.22935779816514,85.08035714285717,30.12742099898064,88.83035714285714,30.331294597349654,92.71428571428572,30.22935779816514,97.66964285714286,30.22935779816514,101.95535714285717,30.22935779816514,107.31250000000001,31.860346585117227,110.125,30.22935779816514,121.10714285714288
-10.341488277268084,80.25892857142856,1.992864424057089,82.13392857142858,16.060142711518864,81.59821428571428,16.060142711518864,85.3482142857143,16.162079510703364,88.83035714285714,16.162079510703364,92.98214285714286,25.642201834862377,88.83035714285714,25.540265035677876,93.38392857142858,25.744138634046905,97.40178571428572,25.540265035677876,102.49107142857142,25.642201834862377,107.04464285714286,25.744138634046905,112.13392857142858,27.273190621814493,115.21428571428572,25.540265035677876,125.52678571428572
-21.554536187563713,84.4107142857143,-2.59429153924566,84.14285714285714,11.269113149847087,85.08035714285717,11.269113149847087,88.5625,11.371049949031615,92.17857142857144,11.472986748216115,96.5982142857143,20.749235474006127,93.11607142857142,20.749235474006127,97.93750000000003,20.5453618756371,102.35714285714286,20.647298674821627,107.04464285714286,20.749235474006127,112.00000000000001,20.647298674821627,117.35714285714288,22.584097859327215,120.16964285714286,20.647298674821627,130.08035714285717
-26.24362895005096,86.15178571428572,-12.074413863404686,88.16071428571428,6.783893985728852,87.08928571428572,6.681957186544338,90.97321428571428,6.580020387359838,94.7232142857143,6.580020387359838,99.00892857142858,16.264016309887865,97,16.060142711518864,101.55357142857144,16.162079510703364,106.10714285714286,16.060142711518864,111.46428571428572,16.162079510703364,116.01785714285715,17.385321100917423,120.43750000000001,20.647298674821627,122.31250000000001,15.754332313965335,131.01785714285717
-30.932721712538232,87.35714285714286,-21.554536187563713,91.64285714285714,1.68705402650356,89.23214285714286,1.992864424057089,93.11607142857142,1.8909276248725746,97.40178571428572,1.8909276248725746,101.82142857142856,11.269113149847087,101.15178571428572,11.371049949031615,105.97321428571429,11.269113149847087,109.99107142857144,11.269113149847087,115.34821428571429,11.371049949031615,120.16964285714286,11.269113149847087,125.52678571428572,17.895005096839952,125.25892857142858,11.269113149847087,131.82142857142858
-35.62181447502549,88.69642857142858,-26.14169215086646,92.98214285714286,-2.696228338430174,91.7767857142857,-2.696228338430174,95.79464285714286,-2.696228338430174,100.08035714285717,-2.696228338430174,104.09821428571429,6.681957186544338,103.83035714285715,6.783893985728852,108.38392857142858,6.681957186544338,113.33928571428572,6.783893985728852,118.16071428571429,6.783893985728852,123.11607142857144,6.783893985728852,129.00892857142858,16.162079510703364,127,6.681957186544338,132.75892857142858
-40.310907237512744,88.29464285714286,-30.932721712538232,94.7232142857143,-7.385321100917437,94.05357142857144,-4.836901121304791,97.13392857142856,-7.283384301732937,102.2232142857143,-7.079510703363923,106.77678571428572,1.992864424057089,106.375,1.992864424057089,111.19642857142858,1.8909276248725746,116.2857142857143,1.8909276248725746,121.10714285714288,1.992864424057089,126.33035714285715,1.8909276248725746,132.75892857142858,13.103975535168203,129.94642857142858,1.8909276248725746,133.69642857142858
-45.101936799184514,88.16071428571428,-36.02956167176352,96.5982142857143,-12.074413863404686,95.92857142857144,-7.283384301732937,98.20535714285714,-12.074413863404686,103.69642857142858,-12.1763506625892,108.38392857142858,-2.59429153924566,108.78571428571429,-2.696228338430174,113.33928571428572,-2.59429153924566,118.16071428571429,-2.696228338430174,123.91964285714286,-3.103975535168189,129.5446428571429,-2.696228338430174,133.96428571428572,11.269113149847087,131.28571428571428,-2.696228338430174,134.2321428571429
,,-40.310907237512744,96.0625,-16.76350662589195,97.13392857142856,-11.972477064220186,99.67857142857144,-16.76350662589195,105.30357142857143,-16.457696228338435,110.125,-7.283384301732937,111.19642857142858,-7.283384301732937,115.88392857142857,-6.467889908256879,119.23214285714286,-7.283384301732937,126.33035714285715,-7.283384301732937,131.82142857142858,-7.283384301732937,134.2321428571429,6.987767584097853,132.75892857142858,-7.385321100917437,134.36607142857144
,,-44.79612640163099,95.79464285714286,-21.452599388379213,99.14285714285714,-16.66156982670745,101.15178571428572,-21.656472986748227,107.58035714285715,-21.656472986748227,112.13392857142858,-11.972477064220186,113.20535714285714,-11.972477064220186,117.89285714285715,-7.589194699286452,120.57142857142858,-11.972477064220186,128.07142857142858,-12.1763506625892,132.89285714285717,-12.1763506625892,135.1696428571429,1.992864424057089,133.42857142857144,-11.972477064220186,135.03571428571428
