PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,Wind Correction 10000kg,,Wind Correction 11000kg,,Wind Correction 12000kg,,Wind Correction 13000kg,,Wind Correction 14000kg,,Wind Correction 15000kg,,Wind Correction 16000kg,,Thrust Margin Correction 11000kg,,Thrust Margin Correction 12000kg,,Thrust Margin Correction 13000kg,,Thrust Margin Correction 14000kg,,Thrust Margin Correction 15000kg,,Thrust Margin Correction 16000kg,,Thrust Margin Correction 17000kg,,Thrust Margin Correction 18000kg,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
12026.03550295858,-44.9526198439242,12527.810650887574,-44.9526198439242,13029.585798816568,-44.9526198439242,13559.763313609466,-44.9526198439242,14080.473372781065,-44.85785953177256,14620.118343195267,-44.9526198439242,15008.284023668639,-44.9526198439242,15188.165680473372,-44.9526198439242,15349.112426035503,-45.0473801560758,15500.591715976332,-44.9526198439242,15661.538461538461,-44.9526198439242,15813.01775147929,-44.9526198439242,9990.532544378697,-47.984949832775925,10994.082840236686,-47.984949832775925,11997.633136094675,-47.984949832775925,13001.183431952662,-47.89018952062429,13995.266272189348,-47.984949832775925,15008.284023668639,-47.984949832775925,16002.366863905325,-47.984949832775925,10994.082840236686,-65.98940914158305,11988.165680473372,-65.98940914158305,12991.715976331361,-65.79988851727981,14000,-65.98940914158305,14989.349112426036,-65.89464882943145,15992.899408284024,-65.89464882943145,16986.98224852071,-65.98940914158305,18009.4674556213,-65.79988851727981
11997.633136094675,-40.025083612040135,12489.940828402367,-40.025083612040135,12982.248520710058,-40.025083612040135,13493.491124260356,-39.93032329988853,14023.668639053254,-39.93032329988853,14572.781065088757,-40.025083612040135,14932.544378698225,-39.93032329988853,15074.556213017751,-40.025083612040135,15254.437869822485,-39.93032329988853,15415.384615384615,-39.83556298773689,15576.331360946746,-40.025083612040135,15727.810650887574,-40.025083612040135,10359.763313609466,-52.91248606465999,11401.183431952662,-52.91248606465999,12395.26627218935,-52.91248606465999,13408.284023668639,-52.91248606465999,14421.30177514793,-52.91248606465999,15538.461538461539,-52.91248606465999,16712.42603550296,-52.91248606465999,10473.372781065089,-70.91694537346712,11429.585798816568,-70.91694537346712,12395.26627218935,-70.91694537346712,13337.278106508875,-71.01170568561872,14298.224852071005,-70.91694537346712,15244.970414201183,-70.72742474916387,16210.650887573964,-70.82218506131548,17157.39644970414,-70.91694537346712
11940.828402366864,-34.813266443701224,12433.136094674555,-34.908026755852845,12925.443786982249,-34.813266443701224,13427.218934911243,-34.813266443701224,13947.92899408284,-34.813266443701224,14497.041420118343,-34.908026755852845,14818.934911242604,-34.813266443701224,14989.349112426036,-35.09754738015607,15169.23076923077,-35.002787068004466,15320.710059171597,-35.002787068004466,15472.189349112426,-34.813266443701224,15633.136094674555,-34.908026755852845,10880.473372781064,-57.84002229654402,11912.426035502958,-57.84002229654402,12972.781065088757,-57.934782608695656,13976.331360946746,-57.934782608695656,15036.686390532544,-57.934782608695656,16295.85798816568,-57.84002229654402,17853.254437869822,-58.02954292084726,10009.467455621301,-75.84448160535118,10889.940828402367,-75.93924191750278,11817.751479289942,-76.03400222965439,12740.828402366864,-75.93924191750278,13635.502958579882,-76.03400222965439,14515.976331360947,-76.03400222965439,15434.31952662722,-75.93924191750278,16362.130177514793,-75.93924191750278
11884.023668639053,-29.790969899665555,12376.331360946744,-29.88573021181716,12849.704142011833,-29.88573021181716,13360.94674556213,-29.88573021181716,13891.124260355029,-29.88573021181716,14421.30177514793,-29.88573021181716,14724.260355029586,-30.075250836120404,14875.739644970414,-29.980490523968783,15055.621301775147,-29.980490523968783,15226.035502958579,-29.790969899665555,15396.44970414201,-29.88573021181716,15547.92899408284,-29.88573021181716,11637.869822485207,-63.05183946488293,12773.96449704142,-62.957079152731325,13910.059171597633,-62.86231884057972,14989.349112426036,-62.86231884057972,16106.508875739644,-62.957079152731325,17469.8224852071,-62.86231884057972,18009.4674556213,-58.59810479375696,,,,,,,,,,,,,,,,
11637.869822485207,-24.863433667781493,12205.917159763314,-24.863433667781493,12773.96449704142,-24.863433667781493,13285.207100591715,-24.863433667781493,13805.917159763314,-25.05295429208472,14364.497041420118,-24.863433667781493,14629.585798816568,-24.958193979933114,14800,-24.863433667781493,14970.414201183432,-24.863433667781493,15140.828402366864,-24.863433667781493,15292.307692307691,-24.863433667781493,15462.721893491123,-24.958193979933114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363.313609467456,-19.93589743589743,11912.426035502958,-19.93589743589743,12471.005917159764,-19.841137123745824,13067.455621301775,-19.93589743589743,13663.905325443788,-19.841137123745824,14250.887573964497,-19.93589743589743,14497.041420118343,-19.93589743589743,14695.85798816568,-19.93589743589743,14875.739644970414,-19.93589743589743,15046.153846153846,-19.841137123745824,15207.100591715976,-19.93589743589743,15368.047337278107,-19.93589743589743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060.355029585799,-15.008361204013383,11637.869822485207,-15.008361204013383,12186.98224852071,-14.913600891861762,12764.497041420118,-14.818840579710141,13351.479289940828,-15.008361204013383,13976.331360946746,-14.913600891861762,14402.366863905325,-15.008361204013383,14601.183431952662,-14.913600891861762,14781.065088757396,-14.913600891861762,14970.414201183432,-15.008361204013383,15121.89349112426,-14.818840579710141,15282.84023668639,-14.913600891861762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10766.863905325445,-9.796544035674472,11325.443786982249,-9.891304347826093,11865.08875739645,-9.796544035674472,12442.603550295858,-9.891304347826093,13020.118343195267,-9.796544035674472,13644.970414201183,-9.9860646599777,14260.355029585799,-9.796544035674472,14497.041420118343,-9.891304347826093,14686.39053254438,-9.891304347826093,14856.804733727811,-9.9860646599777,15036.686390532544,-9.9860646599777,15197.633136094675,-9.891304347826093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10473.372781065089,-4.86900780379041,11031.952662721893,-4.86900780379041,11571.597633136094,-4.963768115942031,12139.6449704142,-5.058528428093652,12707.692307692309,-4.86900780379041,13304.14201183432,-4.774247491638789,13928.994082840236,-4.86900780379041,14402.366863905325,-4.86900780379041,14601.183431952662,-4.774247491638789,14781.065088757396,-4.86900780379041,14960.94674556213,-4.86900780379041,15112.426035502958,-4.963768115942031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10170.414201183432,0.15328874024525874,10691.124260355029,0.15328874024525874,11240.236686390534,0.15328874024525874,11798.816568047336,0.15328874024525874,12385.798816568047,0.058528428093651996,12963.313609467456,0.058528428093651996,13559.763313609466,0.15328874024525874,14184.615384615385,0.15328874024525874,14506.508875739644,0.15328874024525874,14686.39053254438,0.15328874024525874,14866.272189349113,0.15328874024525874,15027.218934911243,0.15328874024525874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990.532544378697,2.61705685618729,10359.763313609466,5.080824972129321,10880.473372781064,5.175585284280942,11448.520710059172,5.080824972129321,12016.568047337278,5.080824972129321,12594.082840236686,5.080824972129321,13190.532544378697,5.080824972129321,13805.917159763314,5.080824972129321,14402.366863905325,5.080824972129321,14601.183431952662,5.080824972129321,14762.130177514793,5.080824972129321,14942.011834319526,5.080824972129321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10009.467455621301,10.008361204013383,10520.710059171597,10.10312151616499,11069.8224852071,10.10312151616499,11609.467455621301,10.008361204013383,12177.514792899408,10.008361204013383,12773.96449704142,10.10312151616499,13389.349112426034,10.10312151616499,13966.863905325443,10.008361204013383,14515.976331360947,10.008361204013383,14676.923076923076,10.008361204013383,14856.804733727811,10.10312151616499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10056.804733727811,15.030657748049052,10596.44970414201,15.125418060200673,11155.029585798817,15.125418060200673,11713.60946745562,15.22017837235228,12291.124260355029,15.030657748049052,12906.508875739644,15.030657748049052,13493.491124260356,15.22017837235228,14137.278106508875,15.125418060200673,14601.183431952662,14.93589743589743,14781.065088757396,15.125418060200673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9990.532544378697,15.599219620958749,10123.076923076922,20.05295429208472,10653.254437869822,19.958193979933114,11221.301775147927,20.14771460423634,11779.881656804733,20.242474916387962,12385.798816568047,20.05295429208472,12953.846153846152,20.14771460423634,13588.165680473372,20.14771460423634,14213.01775147929,20.05295429208472,14695.85798816568,20.05295429208472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9990.532544378697,21.379598662207357,10085.207100591717,25.17001114827201,10624.852071005917,25.17001114827201,11202.366863905325,25.17001114827201,11760.94674556213,25.17001114827201,12357.396449704142,25.17001114827201,12963.313609467456,25.17001114827201,13607.100591715976,25.075250836120404,14213.01775147929,25.075250836120404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9990.532544378697,25.738573021181722,10018.934911242603,30.192307692307693,10577.514792899408,30.097547380156072,11136.094674556212,30.097547380156072,11694.674556213016,30.097547380156072,12291.124260355029,30.097547380156072,12887.573964497042,30.097547380156072,13493.491124260356,30.097547380156072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10312.426035502958,32.277034559643255,10605.917159763314,34.07748049052397,11022.485207100592,35.11984392419175,11600,35.11984392419175,12168.047337278105,35.21460423634336,12802.366863905325,35.025083612040135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10871.005917159764,36.16220735785953,11192.899408284024,38.05741360089186,11486.390532544377,40.142140468227424,12073.372781065089,40.0473801560758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
