PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,Headwind Correction 10000kg,,Headwind Correction 11000kg,,Headwind Correction 12000kg,,Headwind Correction 13000kg,,Headwind Correction 14000kg,,Headwind Correction 15000kg,,Headwind Correction 16000kg,,Headwind Correction 17000kg,,Thrust Margin Correction 11000kg,,Thrust Margin Correction 12000kg,,Thrust Margin Correction 13000kg,,Thrust Margin Correction 14000kg,,Thrust Margin Correction 15000kg,,Thrust Margin Correction 16000kg,,Thrust Margin Correction 17000kg,,Thrust Margin Correction 18000kg,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
13777.514792899408,-44.997366122200035,14279.289940828403,-44.908598836346854,14478.10650887574,-45.005660035272186,14695.85798816568,-45.008237873118944,14894.674556213018,-44.91588403026158,15112.42603550296,-45.01316938899966,15282.840236686392,-44.92047930642316,15453.254437869824,-45.01720426562936,15614.201183431953,-45.019109624037824,15765.680473372782,-44.926195381648554,15945.562130177515,-44.92832489986979,16097.041420118343,-44.93011817837187,10000,-48.07799442896935,11013.01775147929,-47.995279458060665,12007.100591715976,-48.10175536912199,13020.118343195267,-48.11374791910468,14004.733727810652,-47.93598918758549,15017.751479289942,-48.04268925845956,16021.30177514793,-48.05456972853587,17005.917159763314,-47.97151851790805,10994.082840236686,-65.89477674671589,12007.100591715976,-65.90676929669858,12991.715976331361,-65.91842560696215,13985.798816568047,-66.02490151802341,14998.816568047338,-66.0368940680061,16002.366863905327,-65.95406701719106,16968.047337278105,-65.96549916764188,18000,-66.07242339832867
13720.710059171599,-39.97719503551944,14165.680473372782,-39.98246279111932,14383.431952662722,-39.98504062896605,14582.24852071006,-39.98739430700003,14781.065088757397,-39.989747985034015,14979.881656804735,-40.0868091839594,15188.165680473374,-40.18398246279109,15339.644970414201,-40.09106822040185,15519.526627218935,-40.09319773862306,15699.40828402367,-40.000619735952924,15850.887573964497,-40.002413014455,16021.30177514793,-39.81501541098713,10160.94674556213,-52.909983352837415,11183.431952662722,-52.82738046183512,12205.917159763314,-53.02890013350695,13218.934911242604,-53.040892683489645,14213.01775147929,-52.95795355276819,15453.254437869824,-52.97263602050403,16693.491124260356,-52.89261096734846,17753.846153846156,-52.90516391686306,10473.372781065089,-71.00281847999868,11439.05325443787,-70.91954310955809,12385.798816568047,-70.74133605841341,13323.076923076924,-70.94184701092776,14279.289940828403,-70.95316708147219,15244.970414201183,-70.96459923192297,16182.24852071006,-70.97569514265463,17119.526627218936,-70.98679105338628
13465.08875739645,-35.04937779169619,14014.201183431953,-34.86646338448351,14250.887573964497,-34.86926538214304,14468.63905325444,-34.96655074088112,14667.455621301775,-34.874196898023754,14875.739644970416,-34.876662655964125,15065.08875739645,-34.87890425409172,15254.437869822486,-34.88114585221935,15415.384615384615,-34.97775873151916,15604.733727810652,-35.07470785053813,15756.21301775148,-35.07650112904021,15917.15976331361,-34.88899144566595,10539.644970414201,-57.93396515633496,11571.597633136094,-57.85147434523908,12650.887573964497,-57.958958975457776,13673.372781065089,-57.87635608445551,14695.85798816568,-57.98316823523594,16097.041420118343,-57.99975606138021,17659.171597633136,-58.01824924593295,18009.467455621303,-54.23409536681446,10004.733727810652,-75.96941537142949,10908.875739644971,-75.83805772115177,11817.751479289942,-75.84881739216429,12726.627218934911,-75.95428458406816,13635.502958579882,-75.96504425508068,14534.911242603552,-75.88098432529544,15453.254437869824,-76.08127111799705,16333.727810650887,-75.99698702839906
13247.33727810651,-29.932593825715742,13786.982248520711,-29.938982380379414,14156.21301775148,-29.94335349672825,14355.029585798817,-29.945707174762234,14553.846153846154,-30.04276837368758,14771.597633136096,-29.95063869064296,14960.94674556213,-30.047587809661934,15150.295857988167,-29.955121886898183,15330.1775147929,-29.957251405119408,15491.12426035503,-29.959156763527872,15671.005917159764,-29.961286281749096,15831.952662721895,-29.96319164015756,11363.313609467456,-62.86850719454104,12414.201183431953,-62.88094806414925,13484.023668639054,-62.89361309357021,14582.24852071006,-62.90661436271033,15718.343195266272,-62.92006395147597,17185.798816568047,-62.93743633696492,18000,-59.537604456824496,,,,,,,,,,,,,,,,,,
12963.313609467456,-25.004440342173353,13521.893491124261,-24.916345535758424,14052.07100591716,-25.017329531407086,14250.887573964497,-25.01968320944107,14449.704142011835,-25.022036887475053,14657.988165680474,-25.024502645415424,14847.33727810651,-25.026744243543035,15036.686390532544,-25.028985841670632,15226.03550295858,-24.936519918906882,15405.917159763314,-24.938649437128106,15566.863905325445,-25.035262316427932,15727.810650887575,-24.847752633053673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12736.094674556214,-19.982251817177882,13256.804733727811,-19.893708691137434,13805.917159763314,-19.900209325707493,14137.278106508877,-19.99883964332217,14345.562130177515,-20.096012922153903,14544.378698224853,-19.908951558405164,14743.19526627219,-20.100720278221885,14942.011834319528,-20.008366435364493,15112.42603550296,-20.010383873679345,15311.242603550296,-20.01273755171333,15472.189349112426,-20.10935043101317,15642.603550295858,-20.01666034843663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471.005917159764,-14.959614972556892,13001.183431952664,-14.87118392642283,13540.828402366864,-14.877572481086503,14033.136094674557,-14.978108157109645,14241.420118343196,-14.980573915050016,14430.76923076923,-14.888107992286251,14629.585798816568,-14.985169191211597,14837.869822485207,-15.082342470043343,15027.218934911243,-14.989876547279579,15216.56804733728,-14.897410624515814,15386.982248520711,-14.899428062830665,15557.396449704143,-14.996153022036879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12234.31952662722,-10.032021888546424,12755.029585798817,-9.8487712416146,13256.804733727811,-9.949418997544115,13824.852071005918,-10.05085131281831,14127.810650887575,-9.959730348931103,14355.029585798817,-9.962420266684234,14544.378698224853,-10.154076906594582,14733.727810650887,-9.966903462939442,14932.544378698225,-9.969257140973426,15112.42603550296,-9.971386659194664,15301.775147928995,-10.163043299104999,15462.721893491125,-9.975533615730726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11969.23076923077,-5.104092564816796,12489.940828402367,-5.015549438776347,13001.183431952664,-5.021601753720887,13550.295857988167,-4.933394867399571,14042.603550295858,-4.939223022531337,14241.420118343196,-4.941576700565335,14421.30177514793,-4.943706218786559,14629.585798816568,-5.040879497618292,14837.869822485207,-4.948637734667287,15027.218934911243,-5.045586853686274,15188.165680473374,-5.047492212094738,15377.514792899408,-5.097087570668009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
