PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,Headwind correction 10000kg,,Headwind correction 11000kg,,Headwind correction 12000kg,,Headwind correction 13000kg,,Headwind correction 14000kg,,Headwind correction 15000kg,,Headwind correction 16000kg,,Thrust Margin Correction 11000kg,,Thrust Margin Correction 12000kg,,Thrust Margin Correction 13000kg,,Thrust Margin Correction 14000kg,,Thrust Margin Correction 15000kg,,Thrust Margin Correction 16000kg,,Thrust Margin Correction 17000kg,,Thrust Margin Correction 18000kg,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
12043.234860196335,-44.91735103776264,12526.07525613823,-44.920210669427576,13027.855846858314,-45.01794278691719,13558.033536520004,-45.0210827746277,14012.466278939755,-44.92901384925881,14182.880536331013,-44.93002313102289,14334.36515352462,-45.02568061377525,14485.844493427961,-45.0265777531211,14646.78601478499,-44.932770620269594,14779.340991780951,-45.1230763040102,14930.80977710375,-44.934452756543095,15053.892018065486,-45.02994202566808,10017.367562277796,-47.93768278801883,11001.977994359237,-47.84875385036045,12005.533898509133,-47.94945774193326,12999.6170666248,-47.95534521889044,14012.624597647846,-47.77182415145293,15006.713043053784,-47.87247197181662,16019.736405947639,-47.973231934598545,11002.985956800761,-65.94797944099642,11997.06912491643,-65.95386691795363,12991.152293032097,-65.95975439491082,13994.702919891726,-65.96569794307715,14998.253546751352,-65.97164149124347,15982.879810703598,-66.16699358380453,16976.962978819265,-66.17288106076174,17980.508328388623,-66.08406426552156
11834.671071444945,-39.893819270619105,12431.120972314346,-39.89735175679343,12980.228302173684,-39.80584354351569,13491.481628927995,-39.99839207562093,13936.452189894055,-40.0010274224494,14078.453516472895,-39.81234780377318,14248.878328444694,-40.002877772350246,14390.895486894344,-40.09847918389343,14542.369549507413,-40.004615979832835,14712.778529608404,-39.91086491819044,14845.322952023824,-39.91164991511809,14987.340110473477,-40.007251326661304,10415.280525908362,-52.96233597934469,11437.760792965637,-52.87363132652277,12460.24633731318,-52.8796870171073,13501.66679914864,-52.88585485011009,14495.75524455458,-52.98650267047378,15679.187587549422,-52.99351157161331,16701.657300026156,-52.71528623197847,10501.485062464977,-70.87254552404977,11429.301296663201,-70.97280084594965,12385.509352512765,-70.8837036946639,13332.25522690864,-70.88931081557553,14269.533642560553,-70.89486186527805,15244.681893188306,-70.900637199817,16191.42776758418,-70.90624432072863,17147.641100724013,-70.91190751284938
11559.835071485844,-34.869895005011784,12137.355332157596,-34.96807569217435,12724.337774283038,-34.97155210713956,13330.24985660613,-34.88038032111652,13832.030447326211,-34.97811243860616,14011.917440751698,-35.07393813498581,14163.391503364768,-34.98007493092521,14314.870843268109,-34.98097207027109,14466.35018317145,-34.981869209616946,14617.824245784519,-34.88800600555632,14750.37394549021,-34.98355134589045,14911.315466847238,-34.88974421303894,11002.537387127832,-57.89335025144638,12081.82768393913,-57.89974236928563,13094.845769542713,-57.90574198866108,14145.733690122132,-57.911965892872956,15187.154151957595,-57.91813372587575,16701.952828281264,-58.021865462740834,17989.484999137494,-57.27140839992887,9999.98944541946,-75.89187195050957,10908.86020754923,-75.80249444317826,11817.752078840078,-76.09215830947281,12736.085022423536,-75.90807652994417,13626.03142164593,-76.00810756700756,14544.369642519654,-75.91878613088537,15443.783500486006,-76.0188732391579,16362.126998650005,-76.02431214644216
11256.601972585137,-29.94056286918355,11815.182038478702,-29.94387107052141,12392.697021860185,-29.947291414277515,12989.146922729586,-29.950823900451837,13595.064282342944,-29.954412457835275,13907.490420893584,-29.95626280773611,14068.44249683115,-30.051976361697555,14219.916559444224,-29.958113157636944,14390.32553954521,-29.864362095994565,14541.81543402909,-30.054779922153358,14683.8220378982,-29.960860646883646,14816.366460313624,-29.961645643811266,11741.28414283118,-63.01478234970688,12886.841373559919,-62.92680662260349,13985.066587859132,-62.93331088286098,15092.753983612034,-62.845110870921104,16209.919392689437,-62.9464876170033,17932.996884089927,-62.956692577062455,,,,,,,,,,,,,,,,,,
10972.303791172348,-25.011342875773565,11521.416398321953,-25.014595005902308,12089.458645669209,-24.923198935042805,12676.44108779465,-24.926675350008026,13253.950793885862,-24.835335350357653,13822.003595813658,-24.93345996631109,13992.417853204915,-24.934469248075175,14143.891915817985,-24.840606044014578,14314.311450499514,-24.936375669185125,14446.850595624663,-24.842400322706297,14607.797394271962,-24.84335353326128,14730.874357943427,-24.844082458979784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10659.592678947141,-19.89243398192329,11208.705286096749,-19.895686112052033,11757.812615956085,-19.804177898774313,12335.33287662784,-19.902358585936867,12922.31531875328,-19.905835000902073,13518.754665042143,-19.71984680026347,13897.45829209076,-19.81684999203459,14048.942909284371,-19.91250747478692,14219.351889385358,-19.81875641314454,14370.831229288699,-19.819653552490408,14503.38092899439,-19.915198892824492,14673.795186385647,-19.91620817458859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10327.951926524289,-14.86817328906126,10886.531992417855,-14.87148149039912,11416.704404789274,-14.779861134703154,11994.219388170757,-14.783281478459244,12571.73437155224,-14.786701822215335,13187.124467199828,-14.885106794214366,13793.041826813187,-14.888695351597818,13972.918265658132,-14.79500036116454,14133.870341595702,-14.890713915126,14285.35495878931,-14.986371397878315,14427.361562658421,-14.892452122608603,14578.835625271491,-14.798588918547978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996.305896811165,-9.749152252792754,10545.423781251042,-9.847164726327975,11085.068929656689,-9.850360785247602,11653.116454294213,-9.853725057794577,12202.22906144382,-9.85697718792332,12808.14642105718,-9.860565745306758,13414.069057960809,-9.958914646096659,13887.441995158744,-9.961718206552476,14048.383516515776,-9.867911073700995,14209.335592453343,-9.963624627662426,14351.342196322454,-9.869705352392714,14502.821536225794,-9.870602491738566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10156.983553654703,-4.9173279496177145,10687.161243316394,-4.920467937328212,11245.74130920996,-4.923776138666071,11794.853916359567,-4.927028268794814,12381.836358485009,-4.930504683760034,12978.286259354409,-4.934037169934356,13593.671077711726,-4.93768179852691,13972.369427470076,-4.939924646891555,14123.854044663687,-5.035582129643885,14275.328107276757,-4.941718925583274,14426.807447180097,-4.94261606492914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9995.915377331203,-2.7368868407138933,10260.845903453954,0.10435346762497488,10828.893428091478,0.1009891950780002,11387.478771275313,0.0029206503336780543,11946.04828258834,0.1891331358087598,12551.970919491969,0.09078423501884458,13138.95863890768,-0.007452523352824869,13754.33817997473,0.08366319146108481,14047.83467832772,-0.01283535942799574,14199.31401823106,-0.013732498773848079,14350.78808084413,0.0801307052867486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9995.604017205285,2.8539734202678915,10317.370959533408,5.126315240913257,10866.483566683015,5.123063110784514,11406.123437798393,5.21462739527135,11983.643698470147,5.116446708108796,12617.968711605652,5.017929593691534,13204.945876440823,5.109213522132805,13839.26561228606,5.105456751122006,14113.821915860863,5.103830686057634,14274.773991798433,5.008117132096189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9995.319043530719,7.971031964217332,10288.688886917234,10.148781655083567,10828.334035322883,10.14558559616394,11396.381559960406,10.142221323616965,11992.842015410348,9.949168150629703,12598.743543152897,10.229860623465683,13185.73126256861,10.131623865094,13820.056275704115,10.033106750676723,14189.281889428235,10.12568031692767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9976.130816109853,12.519640590146182,10222.136979325227,15.17147235409034,10790.19505854329,14.978587394730425,11358.232028600276,15.164743808996391,11926.28483052807,15.066619193042953,12503.794536619283,15.157959192693326,13119.1793549766,15.154314564100773,13744.036909368147,15.05585352089264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9985.344964920863,17.06808100244767,10165.057807767447,20.099346638481535,10723.637873661011,20.096038437143676,11282.217939554577,20.092730235805817,11878.66784042398,20.089197749631495,12494.052658781296,20.08555312103894,13062.100183418821,20.082188848491967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9994.580222892951,21.23748004112329,9994.369131282161,25.027893777382133,10534.014279687808,25.024697718462505,11102.056527035063,25.116093789321994,11689.038969160505,25.112617374356788,12285.488870029905,25.109084888182466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9994.16859425191,28.628786826828033,10334.923226970648,29.953413070990443,10874.557820795755,30.139737698883756,11461.545540211468,30.04150094051208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9993.973334511928,32.134919532867464,9993.799183933026,35.262010865281006,10618.662015614842,35.068789478666396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9993.588092322236,39.05242460153985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
