PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,Wind Correction Curve @ 10000kg,,Wind Correction Curve @ 11000kg,,Wind Correction Curve @ 12000kg,,Wind Correction Curve @ 13000kg,,Wind Correction Curve @ 14000kg,,Wind Correction Curve @ 15000kg,,Wind Correction Curve @ 16000kg,,Thrust Margin Correction @11000kg,,Thrust Margin Correction @12000kg,,Thrust Margin Correction @13000kg,,Thrust Margin Correction @14000kg,,Thrust Margin Correction @15000kg,,Thrust Margin Correction @16000kg,,Thrust Margin Correction @17000kg,,Thrust Margin Correction @18000kg,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
13433.984606275902,-44.763099219620955,13718.176435760804,-44.9526198439242,13907.637655417406,-44.9526198439242,14097.098875074007,-44.9526198439242,14286.560094730608,-44.9526198439242,14438.12907045589,-44.85785953177256,14608.644168146831,-44.9526198439242,14760.213143872112,-45.0473801560758,14921.255180580223,-44.9526198439242,15082.297217288335,-45.0473801560758,15214.920071047956,-44.85785953177256,15347.542924807578,-44.9526198439242,10004.736530491415,-47.89018952062429,10999.407933688573,-48.07971014492753,12003.55239786856,-47.984949832775925,13007.69686204855,-47.89018952062429,14002.368265245706,-47.89018952062429,15025.458851391355,-47.89018952062429,16010.657193605683,-47.984949832775925,10989.934872705742,-65.98940914158305,11994.07933688573,-66.08416945373466,12969.804618117229,-65.98940914158305,13992.895204262877,-66.08416945373466,14987.566607460034,-66.08416945373466,16001.184132622853,-65.89464882943145,16995.85553582001,-66.08416945373466,17990.526939017167,-65.79988851727981
13206.63114268798,-39.93032329988853,13613.972764949673,-39.93032329988853,13803.433984606274,-39.93032329988853,14002.368265245706,-40.025083612040135,14182.356423919478,-39.93032329988853,14352.87152161042,-39.93032329988853,14513.91355831853,-39.93032329988853,14684.428656009472,-40.11984392419174,14835.997631734754,-39.93032329988853,14978.093546477205,-39.93032329988853,15139.135583185316,-39.93032329988853,15281.231497927767,-39.93032329988853,10222.616933096506,-52.91248606465999,11236.234458259325,-52.91248606465999,12278.271166370632,-52.91248606465999,13291.888691533451,-52.91248606465999,14381.290704558909,-52.81772575250835,15622.261693309649,-52.91248606465999,16702.19064535228,-53.007246376811594,10459.443457667257,-70.91694537346712,11416.222616933097,-70.91694537346712,12373.001776198933,-70.91694537346712,13329.78093546477,-70.91694537346712,14286.560094730608,-70.91694537346712,15233.866193013617,-71.01170568561872,16200.118413262284,-70.91694537346712,17156.89757252812,-71.01170568561872
12941.385435168737,-35.002787068004466,13500.296033155713,-35.002787068004466,13699.230313795144,-34.908026755852845,13898.164594434576,-35.002787068004466,14087.625814091178,-35.002787068004466,14267.613972764948,-34.908026755852845,14428.65600947306,-35.002787068004466,14589.69804618117,-34.908026755852845,14731.793960923622,-34.908026755852845,14902.309058614564,-35.002787068004466,15053.878034339845,-34.908026755852845,15195.973949082296,-34.908026755852845,10648.904677323859,-57.934782608695656,11709.887507400828,-58.02954292084726,12770.870337477798,-58.02954292084726,13803.433984606274,-57.934782608695656,14997.039668442865,-57.934782608695656,16569.567791592657,-57.934782608695656,17914.742451154525,-57.934782608695656,10004.736530491415,-75.93924191750278,10885.73120189461,-76.03400222965439,11833.037300177619,-75.93924191750278,12723.505032563648,-76.03400222965439,13623.445825932504,-75.93924191750278,14523.38661930136,-76.12876254180603,15432.800473653047,-76.12876254180603,16351.687388987566,-76.12876254180603
12695.085849615156,-29.980490523968783,13225.57726465364,-29.88573021181716,13595.026642984014,-29.88573021181716,13784.487862640615,-29.88573021181716,13973.949082297217,-29.980490523968783,14153.937240970987,-30.075250836120404,14324.45233866193,-29.980490523968783,14494.96743635287,-29.980490523968783,14665.482534043811,-29.790969899665555,14807.578448786262,-29.980490523968783,14978.093546477205,-29.980490523968783,15110.716400236824,-29.790969899665555,11397.276494967435,-62.957079152731325,12486.678507992894,-62.957079152731325,13642.391947898164,-63.05183946488293,14712.847838957961,-62.957079152731325,15991.711071640022,-62.957079152731325,17744.227353463586,-63.05183946488293,18000,-58.31382385730211,,,,,,,,,,,,,,,,
12439.313203078744,-25.05295429208472,12960.3315571344,-24.863433667781493,13490.822972172882,-25.05295429208472,13689.757252812315,-25.05295429208472,13869.745411486085,-24.768673355629872,14068.679692125517,-24.863433667781493,14239.194789816458,-24.863433667781493,14409.709887507399,-24.958193979933114,14570.75192421551,-24.768673355629872,14722.320899940793,-24.958193979933114,14883.362936648904,-25.05295429208472,15034.931912374184,-25.05295429208472,8725.873297809354,-75.18115942028984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12183.540556542332,-20.03065774804905,12695.085849615156,-19.93589743589743,13216.10420367081,-19.93589743589743,13595.026642984014,-19.93589743589743,13784.487862640615,-19.93589743589743,13964.476021314385,-19.93589743589743,14144.464179988157,-20.03065774804905,14324.45233866193,-19.93589743589743,14485.49437537004,-19.841137123745824,14656.009473060982,-19.93589743589743,14788.632326820603,-19.841137123745824,14949.674363528715,-19.841137123745824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11908.821788040259,-15.008361204013383,12401.420959147425,-14.913600891861762,12912.966252220249,-15.008361204013383,13471.876850207222,-14.913600891861762,13670.811130846654,-14.913600891861762,13860.272350503255,-14.913600891861762,14049.733570159857,-14.913600891861762,14239.194789816458,-15.008361204013383,14390.76376554174,-15.008361204013383,14551.805802249852,-14.913600891861762,14703.374777975132,-14.913600891861762,14864.416814683244,-15.10312151616499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634.103019538186,-9.9860646599777,12136.175251628181,-9.9860646599777,12647.720544701006,-9.891304347826093,13168.73889875666,-9.891304347826093,13585.553582001183,-9.9860646599777,13784.487862640615,-9.891304347826093,13964.476021314385,-9.9860646599777,14125.518058022497,-9.9860646599777,14314.979277679098,-9.891304347826093,14466.54825340438,-9.9860646599777,14627.590290112492,-9.9860646599777,14769.686204854943,-9.9860646599777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11321.492007104796,-4.963768115942031,11814.091178211958,-4.963768115942031,12316.163410301953,-4.963768115942031,12827.708703374778,-4.774247491638789,13358.20011841326,-4.86900780379041,13680.284191829483,-4.86900780379041,13860.272350503255,-4.963768115942031,14040.260509177027,-4.774247491638789,14220.248667850798,-4.963768115942031,14390.76376554174,-4.963768115942031,14542.33274126702,-5.058528428093652,14693.901716992303,-5.058528428093652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
