PA_2000ft,,PA_3000ft,,PA_4000ft,,OAT_40C,,OAT_35C,,OAT_30C,,OAT_25C,,OAT_20C,,OAT_15C,,OAT_10C,,OAT_5C,,OAT_0C,,OAT_-5C,,OAT_-10C,,OAT_-15C,,OAT_-20C,,OAT_-25C,,OAT_-30C,,OAT_-35C,,OAT_-40C,,OAT_-45C,,Max Allowable TIT,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.08456082924168029,50.010251450677,0.127114020731042,50.08266924564798,0.1729405346426623,50.08429400386848,0.0005455537370431252,36.889090909090925,0.00163666121112932,35.32912959381045,-0.0005455537370430696,33.839961315280476,-0.0005455537370430696,32.13814313346229,0.00163666121112932,30.57822050290136,0.0005455537370431252,29.089090909090928,-0.0005455537370430696,27.4581431334623,0.0005455537370431252,25.969090909090923,-0.0005455537370430696,24.2672340425532,-0.0016366612111292644,22.63628626692457,-0.0005455537370430696,21.147234042553208,-0.0005455537370430696,19.445415860735025,-0.0005455537370430696,17.956324951644106,-0.0005455537370430696,16.396324951644118,-0.0005455537370430696,14.836324951644116,-0.0005455537370430696,13.205415860735016,-0.0005455537370430696,11.787234042553209,0.0005455537370431252,10.085454545454567,0,9.908162475822053
0.22967812329514453,57.03539651837525,0.3082378614293508,58.10181818181819,0.38461538461538464,59.02634429400388,0.15220949263502453,39.1635589941973,0.23076923076923078,38.66998065764025,0.15439170758319692,35.97272727272728,0.23186033824331692,35.47911025145068,0.15330060010911079,32.923597678916835,0.15330060010911079,31.22177949709865,0.23076923076923078,30.86998065764024,0.23076923076923078,29.239071566731155,0.23186033824331692,27.67911025145068,0.23186033824331692,26.119110251450678,0.23076923076923078,24.488162475822065,0.23076923076923078,22.85725338491298,0.23186033824331692,21.297292069632505,0.23076923076923078,19.737253384912975,0.23076923076923078,18.106344294003875,0.22967812329514453,16.61721470019343,0.23076923076923078,14.986344294003885,0.23186033824331692,13.42638297872341,-0.0005455537370430696,14.907234042553199
0.3835242771412984,63.989941972920704,0.4631751227495908,64.914584139265,0.5395526459356246,65.69729206963251,0.3835242771412984,42.433578336557076,0.46208401527550463,42.01090909090911,0.38461538461538464,39.3136170212766,0.3835242771412984,37.61176015473889,0.3060556464811784,34.98537717601549,0.3093289689034369,33.4254932301741,0.46208401527550463,34.140000000000015,0.3835242771412984,31.371760154738894,0.3835242771412984,29.953578336557072,0.38461538461538464,28.251798839458417,0.4609929078014184,27.82905222437138,0.45990180032733224,26.198104448742754,0.45990180032733224,24.567195357833654,0.46208401527550463,23.078181818181832,0.3835242771412984,20.38085106382981,0.45990180032733224,19.816286266924564,0.4609929078014184,18.3272340425532,0.5384615384615383,17.833617021276595,-0.0005455537370430696,20.012688588007748
0.5395526459356246,71.01547388781432,0.6159301691216585,71.79818181818183,0.6923076923076923,72.15543520309478,0.6159301691216585,45.70363636363638,0.6923076923076923,45.28088974854934,0.6159301691216585,42.58363636363637,0.5373704309874523,39.95721470019343,0.5384615384615383,38.39725338491296,0.46208401527550463,35.62909090909092,0.6148390616475723,36.34359767891684,0.5395526459356246,33.64638297872341,0.5373704309874523,32.157214700193435,0.5373704309874523,30.52630560928435,0.6933987997817785,31.099110251450682,0.6923076923076923,29.539071566731153,0.691216584833606,27.97903288201161,0.6159301691216585,25.281818181818196,0.691216584833606,24.85903288201162,0.6933987997817785,23.157292069632504,0.6933987997817785,21.668201160541585,0.7697763229678123,21.032727272727286,-0.0005455537370430696,25.0472340425532
0.69012547735952,78.11172147001935,0.7697763229678123,78.54000000000002,0.84506273867976,78.75539651837525,0.8461538461538463,48.97361702127661,0.8985270049099836,48.19547388781433,0.768685215493726,44.71632495164411,0.6933987997817785,42.09001934235977,0.691216584833606,40.60085106382979,0.691216584833606,38.89903288201161,0.7708674304418985,38.476402321083185,0.691216584833606,35.8499419729207,0.6933987997817785,34.29001934235977,0.6933987997817785,32.800928433268865,0.9007092198581561,34.08464216634431,0.8996181123840699,32.524603481624766,0.8985270049099836,30.89365570599614,0.8461538461538463,28.551798839458428,0.8996181123840699,27.84460348162476,0.8461538461538463,25.502707930367507,0.9018003273322421,24.653771760154754,0.9007092198581561,23.09373307543521,-0.0005455537370430696,30.010870406189568
0.7599563557010365,81.37601547388783,0.8330605564648117,81.37860735009673,0.9072558647026732,81.38123791102515,0.9007092198581561,49.826460348162485,,,0.8996181123840699,46.635512572533855,0.8472449536279323,44.36456479690524,0.8461538461538463,42.7336170212766,0.9028914348063284,42.026537717601556,0.8996181123840699,40.395512572533846,0.8461538461538463,38.05361702127661,0.8472449536279323,36.49365570599615,0.8461538461538463,34.79179883945842,,,,,,,0.8996181123840699,29.40460348162476,,,0.8996181123840699,26.213694390715673,,,,,-0.0005455537370430696,35.04541586073502
,,,,,,,,,,,,0.9007092198581561,45.0046421663443,0.9007092198581561,43.51555125725339,,,,,0.8996181123840699,38.76460348162476,0.8996181123840699,37.20460348162476,0.8985270049099836,35.64456479690523,,,,,,,,,,,,,,,,,0.0005455537370431252,40.08000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005455537370430696,45.04359767891684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005455537370431252,50.07818181818183
