AUW_10000kg,,AUW_10500kg,,AUW_11000kg,,AUW_11500kg,,AUW_12000kg,,AUW_12500kg,,AUW_13000kg,,AUW_13500kg,,AUW_14000kg,,AUW_14600kg,,AUW_15000kg,,AUW_15600kg,,HL_50ft_windcurve,,HL_100ft_windcurve,,HL_200ft_windcurve,,HL_300ft_windcurve,,HL_400ft_windcurve,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,7.731843575418994,-0.7619047619047592,8.699720670391061,0,9.513966480446927,-0.7619047619047592,10.358938547486034,0,11.25,0,12.248603351955307,9.904761904761926,13.308659217877095,32.00000000000006,13.293296089385475,51.047619047619094,13.308659217877095,79.23809523809524,13.277932960893855,101.33333333333331,13.308659217877095,137.90476190476187,13.293296089385475,49.523809523809575,2.400837988826815,99.0476190476191,2.400837988826815,198.85714285714283,2.4162011173184332,299.4285714285714,2.446927374301673,399.99999999999994,2.431564245810055
49.523809523809575,6.625698324022345,16,8.023743016759775,11.428571428571445,9.022346368715082,29.714285714285722,9.022346368715082,25.142857142857167,10.005586592178771,23.61904761904765,11.050279329608937,26.666666666666686,12.033519553072624,53.333333333333314,12.033519553072624,74.66666666666669,12.033519553072624,100.57142857142861,12.386871508379887,137.90476190476187,12.048882681564246,147.8095238095238,13.016759776536313,39.61904761904765,1.432960893854748,79.23809523809524,1.4022346368715084,169.14285714285717,1.4175977653631264,264.38095238095235,1.432960893854748,360.38095238095235,1.4022346368715084
100.57142857142861,5.75,49.523809523809575,7.178770949720668,36.57142857142861,8.023743016759775,99.0476190476191,7.363128491620111,50.28571428571428,9.037709497206704,45.71428571428572,10.005586592178771,44.190476190476204,11.004189944134078,72.38095238095235,11.019553072625698,98.28571428571428,11.234636871508378,123.42857142857139,11.649441340782122,150.09523809523813,11.726256983240223,182.85714285714283,12.048882681564246,28.190476190476204,0.40363128491619804,60.190476190476204,0.4189944134078196,150.85714285714283,0.787709497206702,228.5714285714286,0.4189944134078196,319.99999999999994,0.4189944134078196
150.09523809523813,5.104748603351954,100.57142857142861,6.318435754189942,50.28571428571428,7.670391061452513,150.09523809523813,6.671787709497206,98.28571428571428,8.008379888268156,100.57142857142861,8.59217877094972,67.8095238095238,10.005586592178771,96.76190476190476,10.005586592178771,105.14285714285717,10.988826815642458,148.5714285714286,11.111731843575418,186.66666666666669,11.034916201117317,211.0476190476191,11.603351955307263,17.52380952380952,-0.5796089385474872,40.38095238095235,-0.5949720670391088,140.1904761904762,0.4343575418994412,193.52380952380958,-0.5796089385474872,279.61904761904765,-0.6103351955307268
199.61904761904765,4.659217877094971,150.09523809523813,5.64245810055866,89.14285714285717,7.009776536312849,200.38095238095235,6.118715083798882,150.09523809523813,7.178770949720668,150.09523809523813,7.731843575418994,100.57142857142861,9.222067039106145,146.28571428571428,9.022346368715082,128.76190476190476,10.03631284916201,172.9523809523809,10.451117318435754,211.0476190476191,10.589385474860334,239.99999999999994,11.234636871508378,6.85714285714289,-1.578212290502794,25.142857142857167,-1.5935754189944156,112.76190476190476,-0.5642458100558692,162.28571428571428,-1.6089385474860336,239.23809523809524,-1.5935754189944156
249.90476190476187,4.321229050279328,200.38095238095235,5.104748603351954,100.57142857142861,6.825418994413408,250.66666666666669,5.673184357541899,200.38095238095235,6.610335195530727,201.14285714285717,7.148044692737429,150.85714285714283,8.361731843575418,200.38095238095235,8.223463687150836,150.09523809523813,9.621508379888267,186.66666666666669,10.02094972067039,230.85714285714283,10.02094972067039,259.0476190476191,10.865921787709496,0.7619047619047592,-2.4539106145251424,12.952380952380963,-2.5921787709497224,100.9523809523809,-1.0097765363128524,132.5714285714286,-2.5921787709497224,204.1904761904762,-2.5921787709497224
300.1904761904762,4.044692737430168,250.66666666666669,4.72067039106145,150.09523809523813,6.180167597765362,350.4761904761904,5.027932960893853,250.66666666666669,6.164804469273744,249.90476190476187,6.641061452513966,250.66666666666669,7.117318435754189,250.66666666666669,7.731843575418994,201.14285714285717,8.837988826815641,200.38095238095235,9.636871508379887,243.8095238095238,9.682960893854748,279.61904761904765,10.374301675977653,,,4.571428571428555,-3.590782122905029,86.09523809523813,-1.578212290502794,104.38095238095235,-3.590782122905029,171.4285714285714,-3.6061452513966508
350.4761904761904,3.8219273743016764,300.9523809523809,4.428770949720668,199.61904761904765,5.596368715083798,399.99999999999994,4.812849162011172,350.4761904761904,5.458100558659218,349.7142857142857,5.949720670391059,350.4761904761904,6.395251396648042,299.4285714285714,7.270949720670391,249.90476190476187,8.284916201117317,249.14285714285717,8.960893854748603,250.66666666666669,9.544692737430166,299.4285714285714,10.005586592178771,,,,,62.476190476190425,-2.5921787709497224,,,,
399.99999999999994,3.660614525139664,349.7142857142857,4.229050279329609,249.90476190476187,5.212290502793294,,,399.99999999999994,5.212290502793294,398.4761904761904,5.673184357541899,399.99999999999994,6.118715083798882,399.99999999999994,6.610335195530727,300.1904761904762,7.839385474860334,302.4761904761904,8.51536312849162,271.99999999999994,9.268156424581004,329.90476190476187,9.544692737430166,,,,,43.42857142857139,-3.590782122905029,,,,
,,400.76190476190476,4.029329608938546,300.9523809523809,4.889664804469273,,,,,,,,,,,399.99999999999994,7.117318435754189,351.23809523809524,8.162011173184357,299.4285714285714,9.006983240223462,358.85714285714283,9.222067039106145,,,,,,,,,,
