AUW_10000kg,,AUW_10500kg,,AUW_11000kg,,AUW_11500kg,,AUW_12000kg,,AUW_12500kg,,AUW_13000kg,,AUW_13500kg,,AUW_14000kg,,AUW_14600kg,,AUW_15000kg,,AUW_15600kg,,HL_50ft_Headwind,,HL_100ft_Headwind,,HL_200ft_Headwind,,HL_300ft_Headwind,,HL_400ft_Headwind,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
400,3.519047619047619,400,3.891071428571429,400,4.277976190476188,400,4.635119047619046,400,5.081547619047619,400,5.542857142857141,400,5.944642857142856,400,6.420833333333331,400,6.911904761904761,400,7.522023809523809,400,7.938690476190475,400,8.727380952380951,50.55762081784388,2.4029761904761884,99.62825278810408,2.388095238095236,200,2.4029761904761884,298.88475836431223,2.4029761904761884,399.25650557620816,2.388095238095236
301.8587360594795,3.891071428571429,350.92936802973975,4.084523809523809,349.44237918215606,4.456547619047619,350.1858736059479,4.888095238095236,350.1858736059479,5.304761904761904,351.6728624535316,5.751190476190477,349.44237918215606,6.197619047619046,302.60223048327134,7.001190476190475,300.3717472118959,7.566666666666666,300.3717472118959,8.28095238095238,301.11524163568777,8.816666666666666,351.6728624535316,9.397023809523809,29.739776951672866,0.40892857142857153,60.966542750929364,0.40892857142857153,150.92936802973975,0.7214285714285715,264.6840148698884,1.4059523809523817,300.3717472118959,-0.06726190476190652
200.74349442379184,4.411904761904761,250.55762081784383,4.575595238095236,251.30111524163567,5.022023809523809,250.55762081784383,5.468452380952382,249.81412639405198,5.899999999999999,249.81412639405198,6.420833333333331,251.30111524163567,6.941666666666666,200.74349442379184,7.953571428571427,250.55762081784383,8.042857142857143,251.30111524163567,8.801785714285714,257.2490706319702,9.769047619047617,316.72862453531593,10.007142857142856,-0.7434944237918444,-2.076190476190476,41.635687732342035,-0.5880952380952387,111.52416356877325,-0.5732142857142861,200.74349442379184,-0.33511904761904887,234.20074349442382,-1.6000000000000014
99.62825278810408,5.170833333333334,176.9516728624535,5.036904761904761,150.1858736059479,5.766071428571429,176.9516728624535,6.019047619047619,150.1858736059479,6.822619047619046,150.1858736059479,7.388095238095238,150.1858736059479,7.9833333333333325,150.1858736059479,8.59345238095238,188.84758364312268,8.697619047619046,203.7174721189591,9.932738095238093,240.8921933085502,10.051785714285714,300.3717472118959,10.21547619047619,,,24.535315985130126,-1.6000000000000014,83.27137546468401,-1.5553571428571438,155.3903345724907,-1.5851190476190489,146.4684014869888,-3.608928571428571
37.17472118959108,6.0339285714285715,99.62825278810408,5.7214285714285715,100.37174721189592,6.242261904761904,99.62825278810408,6.822619047619046,99.62825278810408,7.40297619047619,99.62825278810408,8.013095238095238,82.52788104089217,8.84642857142857,130.1115241635688,8.801785714285714,150.1858736059479,9.694642857142856,161.33828996282523,10.483333333333333,200.74349442379184,10.483333333333333,251.30111524163567,10.766071428571427,,,11.152416356877325,-2.6119047619047606,57.9925650557621,-2.6119047619047606,118.21561338289962,-2.5970238095238116,,
0,6.897023809523809,50.55762081784388,6.376190476190477,49.81412639405204,7.03095238095238,49.81412639405204,7.626190476190475,49.81412639405204,8.34047619047619,49.81412639405204,9.024999999999999,55.01858736059478,10.022023809523809,94.42379182156134,9.873214285714285,121.18959107806688,10.245238095238093,130.1115241635688,11.019047619047617,163.56877323420076,11.03392857142857,200.74349442379184,11.376190476190475,,,0,-3.5940476190476183,34.944237918215606,-3.608928571428571,82.52788104089217,-3.608928571428571,,
,,23.048327137546494,7.03095238095238,15.613382899628277,8.042857142857143,22.30483271375465,8.414880952380951,26.022304832713758,9.054761904761904,27.50929368029739,10.051785714285714,31.226765799256498,10.929761904761904,55.01858736059478,11.019047619047617,96.65427509293681,10.691666666666666,90.70631970260223,12.03095238095238,142.75092936802974,11.435714285714285,165.05576208178434,12.016071428571427,,,,,,,,,,
,,-0.7434944237918444,7.789880952380951,0.7434944237918444,8.578571428571427,0,9.263095238095238,1.486988847583632,10.126190476190475,0.7434944237918444,11.40595238095238,13.382899628252801,12.001190476190475,37.17472118959108,12.03095238095238,82.52788104089217,11.108333333333333,66.91449814126395,13.042857142857141,121.18959107806688,12.045833333333333,140.52044609665427,12.566666666666665,,,,,,,,,,
,,,,,,,,,,,,0.7434944237918444,12.923809523809522,20.817843866171017,13.28095238095238,60.966542750929364,12.016071428571427,62.453531598512996,13.310714285714285,86.98884758364312,13.042857142857141,118.21561338289962,13.325595238095238,,,,,,,,,,
,,,,,,,,,,,,,,,,37.91821561338293,13.295833333333333,,,81.78438661710038,13.310714285714285,,,,,,,,,,,,
